Post ID,Media Type,Taken At,Caption,Likes,Comments,Thumbnail,Reach,Impressions,Saves,Shares,Engagement,Engagement Rate (%),Profile Views,Exits,Taps Forward,Taps Back,Replies,Follows,Thumbnail Local Path
3607039673818541949_1302815857,Reel,2025-04-09,We can’t wait to watch ArrDee perform live at this year’s Su...,281,0,,5435,7263,0,3,284,5.23,103,0,0,0,0,0,
3606224125715232165_1302815857,Post,2025-04-08,🎤 ArrDee is this years Headliner at Summer Ball 2025! 🎶 Plat...,341,8,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/489565570_18498315463031858_1609372522674263109_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEzNTB4MTY4Ny5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=l2QjttIn584Q7kNvwF56uLG&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzYwNjIyNDEyNTcxNTIzMjE2NQ%3D%3D.3-ccb7-5&oh=00_AfEtkd8vhrOAzJy4F3Vu9znFqUBCgqPmoP3Ofh-oig2Eaw&oe=67FEE504&_nc_sid=b41fef,6824,11264,0,23,372,5.45,173,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/489565570_18498315463031858_1609372522674263109_n.jpg
3602766494413508860_8389046195,Carousel,2025-04-03,"🥚THE LAST VENSDAY OF TERM HIGHLIGHTS 🐰

What a way to end Te...",181,1,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/488019256_18265235773278196_7651645852336981599_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=JJubpoqjQIYQ7kNvwGVW5PA&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzYwMjc2NjQ5NDQxMzUwODg2MA%3D%3D.3-ccb7-5&oh=00_AfEQrOoPyAlfd-irpy5KFoTeu23-wjABn_Gi1Otv7iKSPw&oe=67FEC002&_nc_sid=b41fef,3264,4413,0,2,184,5.64,50,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/488019256_18265235773278196_7651645852336981599_n.jpg
3602615054797841240_8389046195,Post,2025-04-03,THIS SATURDAY!!! 🤩 The ultimate EMO TRIBUTE NIGHT is coming ...,15,2,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/488007977_18265255000278196_7355517797460044709_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwMjR4MTAyNC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=khaWfu81gmQQ7kNvwGO7NJ-&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzYwMjYxNTA1NDc5Nzg0MTI0MA%3D%3D.3-ccb7-5&oh=00_AfE40_55qqhQv-AnAm4sK1YUd_sBUBEII8gQiVXiWDkYqA&oe=67FEC638&_nc_sid=b41fef,1597,2136,0,1,18,1.13,4,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/488007977_18265255000278196_7355517797460044709_n.jpg
3601830261587890395_1302815857,Carousel,2025-04-02,🎉🎡 SUMMER BALL ANNOUNCEMENT! 🎡🎉 GET YOUR TICKETS NOW! Link i...,262,13,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-15/488035255_18497043127031858_6780582591888409450_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi4xMTc4eDIwOTYuc2RyLmY3NTc2MS5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=koIl7Z2zWaEQ7kNvwGRFu4o&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzYwMTgzMDI2MTU4Nzg5MDM5NQ%3D%3D.3-ccb7-5&oh=00_AfHlrmH-gN9oC-RMlZR-nqfycjxgvgQu7ZiQ1NzCNKIKtQ&oe=67FEE3C6&_nc_sid=b41fef,4869,6050,0,0,275,5.65,71,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/488035255_18497043127031858_6780582591888409450_n.jpg
3601140797551022991_8389046195,Reel,2025-04-01,THIS SATURDAY 🖤 The ultimate EMO TRIBUTE NIGHT is coming to ...,94,1,,1632,2401,0,0,95,5.82,21,0,0,0,0,0,
3599867011962781785_8389046195,Reel,2025-03-30,"VARSITY VENSDAY Highlights🏆

WE ARE THE CHAMPIONS ONCE AGAIN...",377,0,,4112,5054,0,2,379,9.22,110,0,0,0,0,0,
3599716266009631692_8389046195,Post,2025-03-30,"🐰 NEXT WEDNESDAY EASTER SEND OFF 🐰 LAST VENSDAY OF TERM

🐰 E...",46,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/487430943_18264621991278196_2055029470917860633_n.jpg?se=7&stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQuaW1hZ2VfdXJsZ2VuLjEwMjR4MTAyNC5zZHIuZjc1NzYxLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=S1Su0JB9RvEQ7kNvwG3kTMh&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5OTcxNjI2NjAwOTYzMTY5Mg%3D%3D.3-ccb7-5&oh=00_AfF0FzMQ27FkkwhrKBcqr7Rn4mNuTyyTesAqsd-InZ8ohA&oe=67FED6F9&_nc_sid=b41fef,2071,4045,0,0,46,2.22,15,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/487430943_18264621991278196_2055029470917860633_n.jpg
3598311761279918898_8389046195,Carousel,2025-03-28,Varsity win secured 🏆 The energy was insane this week‼️Hear ...,138,3,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/486673059_18264508183278196_5447785519790458939_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=I43yNM6iZTQQ7kNvwHhhSRa&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5ODMxMTc2MTI3OTkxODg5OA%3D%3D.3-ccb7-5&oh=00_AfEtTc-oNbEVpPdozxp9X0po6ndzX_0kC_2_GpHBdC1WwQ&oe=67FEC353&_nc_sid=b41fef,2971,4115,0,3,144,4.85,61,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/486673059_18264508183278196_5447785519790458939_n.jpg
3597617436078246649_8389046195,Carousel,2025-03-27,"🏆 WE’RE CHAMPIONS AGAIN 🏆

What a way to celebrate our wins ...",226,0,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-15/486964475_18264489634278196_7972361114494235617_n.jpg?stp=dst-jpg_e15_p360x360_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLmltYWdlX3VybGdlbi43MjB4MTI3OS5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QELwexewydnirf1ZV27dZqvN4Jed3kILOdIAcQe9Cf9MAfj3WwfUO-1-zvRl7JX3D8&_nc_ohc=-zEI-wSaQEsQ7kNvwGiBgjx&_nc_gid=uiG62a8ZtU8gkVmfC8QJ-w&edm=ABmJApABAAAA&ccb=7-5&ig_cache_key=MzU5NzYxNzQzNjA3ODI0NjY0OQ%3D%3D.3-ccb7-5&oh=00_AfH4dTYb1XKC8FCqgFDIr7t-QXr2u_W_cD_5PEdadQyByA&oe=67FEDC64&_nc_sid=b41fef,4259,5649,0,2,228,5.35,22,0,0,0,0,0,https://raw.githubusercontent.com/ashraf-KSU/instagram-thumbnails/main/thumbnails/486964475_18264489634278196_7972361114494235617_n.jpg
